Title,Yapımşirketi,Yönetmen,Sezonsayısı,Tür,Kanal,Başrol,Başlangıç_Yılı
Bizim Ev,Altınkesit,İsmail Güneş,3,Aile - Duygusal - Macera,TGRT,Cüneyt Arkın,1996
Dadı,Medyapım,Fatih Aksoy - Ebru Yalçın - Yonca Güzelpınar,3,Komedi - Sit-com,Show TV -    - Star TV,Gülben Ergen - Kenan Işık - Haldun Dormen - Seray Sever - Sinem Kobal - İlkay Saran - Yaşar Abravaya - Gökçe Uzuner - Tanju Tuncel - Ercan Süt - Alp Emre Kököz - Altuğ Yücel,2001
Kızlar Yurdu,Arajans,Kartal Tibet - (1-19) - Taner Akvardar - (20-26),1,Aile - Komedi,Teleon,Perran Kutman - Alev Emre - Ali Berge - Özdemir Han - Ali Karagöz - Anıl Dalgıç,1992
Zirvedekiler,Erler Film,Halit Refiğ,1,Drama,Show TV,Cüneyt Arkın - Gülşen Bubikoğlu,1995
Tatlı Kaçıklar,Erler Film,Aram Gülyüz,5,Durum komedisi,atv,Mehmet Ali Erbil - Yalçın Menteş - Buket Dereoğlu - Neslihan Yeldan - Pelin Körmükçü - İsmet Ay - Erol Günaydın - Meltem Cumbul - Kayhan Yıldızoğlu - Ümit Okur - Dursun Ali Sarıoğlu - Yıldız Kaplan,1996
Sevginin Gücü,Erler Film,Ümit Efekan,1,Dram,Show TV,Hülya Avşar - Tarık Tarcan - Tolga Savacı - Maide Erçelebi - Bülent Bilgiç,1994
Sihirli Annem,Süreç Film,Ersoy Güler -  (2003) - Tülay Kocatürk -  (2004-2005) - Kartal Çidamlı -  (2006-2012),7,Fantastik - Komedi,Kanal D -   - Star TV,İnci Türkay - Şahap Sayılgan - Defne Joy Foster - Zuhal Topal - Nevra Serezli - Ebru Karanfilci - Metin Serezli - Gül Onat,2003
Büyük Buluşma,Ser Film,Zeynep Tor - [1] -  U. Yağmur Yavuz  -  Naci Çelik Berksoy (-82)  -  Cem Akyoldaş (83-100)  -  Ahmet Sönmez (101-107)  -  Gürsel Ateş (108-115)  -  Metin Çamurcu (116-123)  -  Hüdaverdi Yavuz (124-155),4,Dram,Samanyolu TV,Ümit Acar - Oğuz Oktay -  Zeynep Ece Akkoca - Yusuf Sezgin,2004
Geçmiş Bahar Mimozaları,TRT,Okan Uysaler,1,Dram - Psikolojik,TRT 1,Filiz Akın - Rutkay Aziz - Ceylan Palay - Müşfik Kenter - Güler Ökten - Nurseli İdiz - Musa Uzunlar,1989
Gençler,TRT,Adem Kılıç,1,Duygusal - Gençlik - Komedi,TRT 1,Ziya Kürküt - Fikret Kuşkan - Oktay Kaynarca - Bilge Parlak - Melike Altunbaran - Zeynep Özden Ayyıldız - Çetin Etili,1989
Yarım Elma,Sis Yapım,Deniz Akçay Katıksız - Ömer Uğur,2,Komedi - Dram,Kanal D -    - Show TV,Janset Paçal - Günay Karacaoğlu,2002
Aynalı Tahir,Base Productions,Erhan Baytimur  -  Cankat Ergin  - Hilal Saral -  Abdülkadir Ceylan Ede,5,Dram,Star TV -    - Flash TV -   - [6],Alişan - Arif Kilisli - Erkan Petekkaya - Bulut Aras - Saruhan Hünel - Kayra Şenocak - Yeşim Büber - Arkın Gelenbe - Emine Ün - Nihan Özcan - [1],1998
155 Polis İmdat,Emek Film,Şahin Gök,2,Polisiye - Aksiyon - Dram - Komedi,Show TV -    - Kanal D,Necla Nazır - Bülent Bilgiç - Murat Soydan - Yusuf Sezgin,1994
Karaoğlan,ANS Production,Abdullah Oğuz - Cem Akyoldaş - Çetin İnanç - Erdoğan Engin,1,Drama - Tarihî - Aksiyon,Kanal D,Kaan Urgancıoğlu - Tuba Ünsal - Serdar Gökhan - Özlem Tekin - İpek Tanrıyar - Sümer Tilmaç - İştar Gökseven - Hasan Yalnızoğlu - Evrim Solmaz - Fatoş Silan - Ayşen Gürler - Haldun Boysan - Sinemis Candemir - Nihat Nikerel - Ökkeş Avgın - Şevval Sam - Yılmaz Köksal,2002
Tatlı Hayat,Medyapım,Bora Tekay,3,Komedi - Sit-com,Show TV,Türkan Şoray - Haluk Bilginer - Asuman Dabak - Çolpan İlhan - Neco - Celal Kadri Kınoğlu - Gamze Özçelik - Emre Altuğ - Veysel Diker - Sevinç Aktansel - Sedat Kalkavan - Levent Sülün,2001
Böyle mi Olacaktı,Erler Film,Ümit Efekan - Temel Gürsu - Şahin Gök,6,Dram - Aile - Gençlik,atv,Açelya Akkoyun - Berna Laçin - Hande Ataizi,1997
Taşların Sırrı,Star 1,Yusuf Kurçenli,1,Gizem kurgu - Fantezi - Macera,Star TV,Tarık Akan - Ayşegül Aldinç - Merih Akalın - Tuncer Necmioğlu - Bilge Zobu - Ali Çoban - Coşkun Göğen - Menderes Samancılar,1992
Canısı,Gold Film,Temel Gürsu,1,Dram - Macera,Show TV,İbrahim Erkal - Emine Ün - Yusuf Çetin - Sevtap Parman - Tanju Gürsu - Sedef Bildik - Canan Perver - Kuzey Vargın - Nur Subaşı - Murat Soydan - Engin Koç,1997
Kanun Savaşçıları,TRT,Emin Gerçeker,1,Aksiyon - Macera - Polisiye,TRT 1,Serdar Gökhan - Eşref Kolçak - Özlem Savaş - Yusuf Sezgin - Savaş Akova - Orsel Sonat - Sermin Karaali - Perin Karaali - Tanju Şarman,1989
Sıcak Saatler,Sinegraf  (1-17) Detay Film,Osman Sınav -  (1-13) - Mustafa Şevki Doğan -  (14-28) - Sadullah Celen -  (29-30) - Veli Çelik -  (30-67)  - Mehmet Aslantuğ -  (67-80),3,Dram - Duygusal - Macera - Polisiye,atv,Mehmet Aslantuğ - Arzum Onan - Nihat Nikerel - Kenan Işık - Aytaç Yörükaslan - Sevda Ferdağ,1997
Gül ve Diken,Kemal Film,Osman F. Seden,1,Romantik - Duygusal,Star TV,Aydan Şener - Murat Parasayar - Müge Arda - Tomris Oğuzalp - Ozan Bilen,1994
Boşgezen ve Kalfası,Ortaoyuncular,Ferhan Şensoy,1,Komedi,Flash TV,Ferhan Şensoy - Suna Pekuysal - Derya Baykal - Rasim Öztekin - Tarık Pabuçcuoğlu - Levent Ünsal - Settar Tanrıöğen - Şükran Dedeman - Pınar Alsan,1995
Hayat Bilgisi,Süreç Film,Tarkan Karlıdağ,4,Gençlik - Komedi - Aile,Kanal D -   - Show TV,Perran Kutman - Tarık Pabuççuoğlu - Kerem Kupacı,2003
Mahallenin Muhtarları,Replik Yapım,Oğuz Yalçın - Filiz Kaynak - Avni Kütükoğlu - Nursan Esenboğa,10,Aile,Kanal 6 -   - atv -   - Kanal D -   - Star TV,Aydan Burhan - Erkan Can - Cihat Tamer - Işık Aras - Goncagül Sunar - Esra Akkaya - Nedret Özbek - Leman Çıdamlı - Filiz Taçbaş,1992
Tatil Aşkları,Star TV,Oğuz Yalçın,1,Komedi,Star TV,Seray Sever - Nilgün Belgün - Ercan Yazgan,2004
Saygılar Bizden,Bugay Yapım,Zeki Ökten,1,Dram - Komedi - Politika,InterSTAR,Kemal Sunal - Jülide Kural - Selma Tarcan - Yaman Tarcan - Nur Gürkan - Alev Oraloğlu - Tuncer Necmioğlu - Zafer Algöz - Yaman Okay - Güler Ökten - Ozan Bilen - Orhan Çağman - Kutay Köktürk - Erdinç Dinçer,1992
Kurşun Yarası,Avşar Film,Sadullah Celen - Özer Kızıltan,2,Dram,atv,Berdan Mardini - Gerçek Sağlar - Bülent İnal - A. Yavuz Sepetçi - Ayçin İnci - Avni Yalçın - Ahmet Mümtaz Taylan - Nur Sürer - Emrah Elçiboğa - Mehmet Akan - Mesut Akusta - Ali Kırca - Fikret Hakan,2003
Gerçek Kesit,Flash TV,Erbay Gül,13,Gerilim - Aksiyon - Dram - Absürt komedi,Flash TV,Cahit Kaşıkçılar - Cevat Dinçer - Mehmet Vanlıoğlu,1993
Kınalı Kar,Yağmur Ajans,Taner Akvardar,3,Dram,Kanal D,Emrah - Özlem Conker - Engin Şenkan - Mustafa Avkıran,2002
Kampüsistan,D Productions,Uluç Bayraktar,2,Dram - Gençlik,Kanal D,Kaan Urgancıoğlu - Göksun Çam - Burak Altay - Tuğçe Kazaz - İpek Değer - Engin Hepileri - Irmak Ünal - Ekim Mağden - Aylin Kontente - Elif Akşar - İstemihan Tuna,2003
Lise Defteri,Statü Yapım,Mustafa Altıoklar,1,Gençlik - Komedi - Dram,Kanal D,Ece Erken - Emre Altuğ - Arda Kural - Selin Demiratar,2003
Marziye,Yağmur Ajans,Taner Akvardar - Melih Gülgen - Erdoğan Tokatlı - Avni Kütükoğlu,2,Dram,TGRT,Kadir İnanır - Gülben Ergen,1998
Bizim Mahalle,TRT,Ülkü Erakalın - Tulip Karamanbey - Temel Gürsu - Tangör Toydemir - Ayhan Önal,8,Aile - Komedi - Macera,TRT 1,Neslihan Acar - Osman Yağmurdereli - Üstün Asutay - Neriman Köksal - Nilgün Belgün - Meltem Ören - İlhan Daner,1994
Bir Filiz Vardı,TRT,Feyzi Tuna,1,Duygusal - Aile - Komedi,TRT 1,Özgü Namal - Müge Oruçkaptan - Nihan Durukan - Menderes Samancılar - Nükhet Egeli - Savaş Akova - Özlem Saraç - Alper Yakıcı,2001
Eşref Saati,Pana Film,Ümit Volkan,2,Komedi,Kanal D,Tuluğ Çizgen - Cihat Tamer - Suna Yıldızoğlu - Suat Sungur - Arzu Atalay - Hadi Çaman,1993
