Title,Yapımşirketi,Yönetmen,Sezonsayısı,Tür,Kanal,Başrol,Başlangıç_Yılı
Çılgın Bediş,D Productions,Turgut Yasalar -  (1-5) - Yavuz Figenli -  (6-53) - Çetin İnanç -  (54-65) - Ömer Uğur -  (66-70),4,Gençlik - Komedi,Kanal D -   - Show TV,Yonca Evcimik - Cenk Torun - Çiçek Dilligil - Selahattin Taşdöğen,1996
Pis Yedili,Tükenmezkalem Film,Haluk Bener -  (1) - Süleyman Seçik -  (2-26) - Kartal Çidamlı -  (27-66) - Doğan Ümit Karaca -  (67-71) - Osman Taşcı -  (72-101),3,Gençlik - Komedi,Show TV,Kadir Doğulu - Eda Ece - Melis Babadağ - Uraz Kaygılaroğlu - Burak Alkaş - Halil Babür - Ayşegül Aldinç - Hazal Şenel - Sezer Arıçay - Ümit İbrahim Kantarcılar - Bükre Atala - Ahmet Yıldırım - Melih Selçuk - Ümit Erlim - Güneş Zavrak - Ecem Karavus - Turan Özdemir - Asuman Dabak - İlkay Akdağlı - Harun Kolçak - Ceren Soylu - Barış Akan - Nevzat Çiftçi -,2011
Ah Ana,TRT,Tarık Alpagut,1,Komedi - Sitcom - Dram,TRT 1,Beyhan Saran - Halil İbrahim Kalaycıoğlu - Erol Kardeseci - Alpay İzbırak - Nurtekin Odabaşı - Hülya Gülşen Irmak - Jale Aylanç,1988
Yerim Seni,Devekuşu, Zeki Alasya -  - Adem Ayral,1,Komedi,Star TV,Serdar Akar - Adem Ayral - Zeki Alasya,1997
Öğretmen Kemal,Mint Prodüksiyon,Hamdi Alkan,1,Gençlik - Komedi,FOX,Bülent Emin Yarar - Asena Tuğal - Kerem Arslanoğlu - Aras Aydın - Yalçın Seyhan - Ayşegül Erus - Burcu Altın - Can Sipahi - Ege Kökenli,2010
Hakkını Helal Et,Ser Film,İsmail Güneş -  (1-6)  -  Naci Çelik Berksoy - [1] -  (7-37),1,Dram - Dini,Samanyolu TV,Sitare Akbaş - Mürşid Ağa Bağ - Hamdi Alp,2007
Doktorlar,Medyapım,Merve Girgin - Oğuzhan Tercan - Şenol Sönmez,4,Dram - Medikal,Show TV,Kutsi - Bekir Aksoy - Yasemin Özilhan - Leyla Göksun - Melike Güner - Yeşim Ceren Bozoğlu,2006
Mavi Rüya,Ser Film,Avni Kütükoğlu - Cemile Kırmızı Karadaş,2,Dram - Gerilim,Samanyolu TV,Melda Bekcan - Ali Başar - Esin Civangil,2004
Sevgi Oyunu,Bop Ajans,Oksal Pekmezoğlu,1,Komedi,Star TV,Aydan Şener - Zehra Alptürk - Nuri Alço - Bülent Bilgiç - Murat Parasayar,1994
Ruhsar,ANS Productions,Ümmü Burhan - Samim Değer - Ömür Atay,5,Fantastik - Komedi,Kanal D -   - Kanal D -    - Euro D -    - D Max -    - teve2,Hande Ataizi - Cem Davran,1998
Sakarya Fırat,Sinegraf,Osman Sınav -  (1-15) - Tevfik Şenol -  (1-5) - Aybars Bora Kahyaoğlu -  (1-5) - Raşit Çelikezer -  (10-35) - Emre Kabakuşak -  (36-113) - Veli Çelik -  (114-151),4,Askeri - Aksiyon - Dram - Savaş,TRT 1,Tayanç Ayaydın - Ceren Hindistan - Deniz Arna - İsmail Hakkı Ürün - Gerçek Sağlar - Kürşat Alnıaçık,2009
Bir Bulut Olsam,Tims Productions,Ulaş İnaç - Hatice Memiş,2,Drama,Kanal D,Melisa Sözen - Engin Altan Düzyatan - Engin Akyürek - Meral Okay - Berfu Öngören - Ünal Silver - Ceren Olcayto - Sema Keçik - Ahmet Kural - Aslıhan Gürbüz - Selim Bayraktar,2009
Bayanlar Baylar,ANS Productions,Erdoğan Engin,1,Komedi,Kanal D,Oktay Kaynarca - Hande Ataizi - Günay Karacaoğlu - Yavuz Bingöl - Levent Üzümcü - Aşkın Nur Yengi - Belma Canciğer - Sümer Tilmaç - Emine Ün - Mansur Ark - Nükhet Duru - Özlem Yıldız,2002
Umut Taksi,TRT,Yusuf Kurçenli -  (8 bölüm)  - Avni Kütükoğlu -  (44 bölüm),2,Dram,TRT 1,Dilaver Uyanık - Yılmaz Erdoğan - Ferdi Akarnur - Necati Bilgiç - Tayfun Çorağan - Nüvit Özdoğru - Ayla Algan,1992
Cennet Mahallesi,Erler Film,Serdar Akar -  (1-6) - Yaşar Seriner -  (7-119),3,Komedi,Show TV,Melek Baykal - Müjdat Gezen - Özkan Uğur - Alişan - Çağla Şıkel - Zeki Alasya,2004
Şehnaz Tango,Ar Ajans,Taner Akvardar - Semih Kaplanoğlu - Sadullah Celen - Nursan Esenboğa - Hüdaverdi Yavuz,4,Romantik komedi - Dram - Aşk,Show TV -   - Star TV,Perran Kutman - Erdal Özyağcılar,1994
Hayat Devam Ediyor,Boyut Film,Cemal Şan - Mahsun Kırmızıgül - Yıldız Hülya Bilban - Levent Türkan,2,Dram,atv,Fikret Kuşkan - Arif Erkin Güzelbeyoğlu - Meltem Miraloğlu - Şenay Gürler - Rozet Hubeş - Onur Tuna - Neslihan Atagül - Rana Cabbar - Sera Tokdemir - Serkan Şenalp - Ali Barkın - Çağla Şimşek,2011
Büyümüş de Küçülmüş,D Productions,Cem Karcı,1,Sit-com - Komedi,Kanal D,Mehmet Ali Erbil - Melisa Sözen - Nilgün Belgün - İlkay Saran - Taner Ergör - Pamela Spence - Gökçe Akyıldız - Arda Esen - Sevinç Aktansel - Misak Toros - Kerem Altaylar,2003
Dudaktan Kalbe,Ay Yapım,Andaç Haznedaroğlu,2,Dram,Show TV,Aslı Tandoğan - Burak Hakkı - Özge Özder - Yiğit Özşener - Fadik Sevin Atasoy,2007
Tatlı Bela Fadime,Erler Film,Cankat Ergin,1,Romantik komedi,Star TV,Nehir Erdoğan - Berk Oktay - Cezmi Baskın - Füsun Demirel,2007
Yeni Evli,Tunga Film,Alper Tunga Özdemir,1,Dram - Komedi,TRT 1,Rüştü Asyalı - Erdal Küçükkömürcü - Mert Tanık - Nur Yazar,2007
Kötü Yol,Gold Film,Nisan Akman,1,Drama,Kanal D,Cansel Elçin - Şükran Ovalı - İlker Aksum,2012
Adanalı,Kuzey Prodüksiyon,Adnan Güler  -  Bora Onur  - Tayfun Güneyer,3,Aksiyon - Dram - Komedi - Polisiye,atv,Oktay Kaynarca - Mehmet Akif Alakurt - Ekin Türkmen - Cemal Hünal - Selin Demiratar - Serenay Sarıkaya - Çağkan Çulha - Eda Özerkan - Umut Oğuz,2008
Vazgeç Gönlüm,Gold Film,Ahmet Sönmez,2,Dram - Aksiyon,Star TV,Murat Han - İrem Altuğ - Bulut Aras,2007
Pertev Bey'in Üç Kızı,TRT,Tunç Başaran,1,Komedi,TRT 1,Serdar Gökhan - Deniz Evrenol - Deniz Gökçer - Başak Daşman - Damla Sönmez - Orhan Aydın - Itır Esen,2006
İffet,Gold Film,Faruk Teber,2,Drama,Star TV,Deniz Çakır - İbrahim Çelikkol - Mahir Günşiray,2011
Bay Kamber,Doku Film,Ünal Küpeli,1,Komedi - Macera - Aile,Star TV,Kemal Sunal - Ebru Şimşek - Murat Aydın - Bülent Bilgiç - Necdet Yakın - Emrah Demirci,1994
Gülbeyaz,eyeQ prodiction,Özer Kızıltan,1,Macera - Drama,Kanal D,Şevval Sam - Nejat İşler - Meral Çetinkaya - Kamran Usluer - Bora Ayanoğlu - Yeşim Ceren Bozoğlu,2002
Çocuklar Ne Olacak,Mint Prodüksiyon,Raşit Çelikezer,1,Aile - Komedi,Star TV,Ayşecan Tatari - Furkan Kızılay - Özgür Ozan - Zeyno Günenç - Ferdi Akarnur - Ayşen Tekin,2004
Mihriban,TRT Gold Film,Yalçın Yelence,1,Dram,TRT 1,Hülya Koçyiğit - Sevinç Gürşen Akyıldız - Lemi Filozof - Erdal Özyağcılar - Oktay Korunan - Ebru Gediz - Cevdet Arıcılar,2002
Zehirli Çiçek,Erler Film,Temel Gürsu - 	Samim Değer,2,Dram - Gerilim,Show TV,Tuğba Özay - Çağla Şıkel - Aysun Kayacı - Özlem Savaş - Burak Hakkı - Kerem Alışık - Faruk Peker - Tarık Tarcan - Karahan Çantay - Levent Özdilek - Petek Dinçöz - Zuhal Topal - Sibel Gökçe - Güneş Berberoğlu - Efgan Efekan - Ahmet Uz - Semra Dinçer - Orçun Sonat,2000
Koçum Benim,Replik Ajans,Vecihi Ener - Serdar Akar,2,Komedi - Aile,TRT 1,Tarık Akan - Ebru Cündübeyoğlu - Engin Altan - Sevil Üstekin - Zihni Göktay - Ozan Güven - Yunus Günçe,2002
Şaşıfelek Çıkmazı,TRT,Mahinur Ergun - (1996-1998) - Çağan Irmak -  (2001),4,Drama,"TRT 1 -  ,",Derya Alabora - Zuhal Gencer - Fikret Kuşkan - Füsun Demirel - Dilaver Uyanık - Suzan Aksoy - Mahperi Mertoğlu - Aysun Metiner - Hakan Tanfer,1996
Bir Aşk Uğruna,Mine Film,Tunca Yönder,1,Dram,atv,Türkân Şoray - Can Gürzap - Faruk Peker,1994
Utanmaz Adam,Koliba Film,Tunca Yönder,1,Komedi,atv,Okan Bayülgen - Zafer Algöz - Bennu Yıldırımlar - Settar Tanrıöğen,1998
İstanbul’un Altınları,Calinos Entertainment,Haluk Özenç,1,Komedi,atv,Haluk Bilginer - Demet Akbağ - Salih Kalyon,2011
Canan,Koliba Film,Bahadır İnce,2,Dram,FOX,Gamze Özçelik - Özlem Conker - Ragıp Savaş - Erdinç Gülener - Neriman Uğur - Mehmet Atay,2011
Melekler Korusun,Tims Productions,Cevriye Demir - Kerem Çakıroğlu,2,Dram - Gençlik,Show TV,Özge Özpirinçci - Selin Şekerci - Rojda Demirer - Hümeyra - Avni Yalçın - Serkan Altunorak - Mahperi Mertoğlu - Yıldız Kültür - Alper Saldıran - Ömer Köse - Taner Barlas - Cem Aktaş  - Şebnem Gürsoy - Şamil Kafkas - Zeynep Köse - Ceylan Dizdar - Cansın Özyosun,2009
Şubat Soğuğu,Ser Film,Murat Saraçoğlu -  (1-6) - Gürsel Ateş (7-14) - Etka Yeşiltepe (15) - Sabri Saydam (16-28) - Demir Keskin (29-63) - Avni Kütükoğlu (64-78),2,Dram - Polisiye,Samanyolu TV,Kenan Bal - Suavi Eren,2004
Ayşecik,Koliba Film,Ayhan Önal - Gürsel Ateş,2,Drama,Show TV,Ecem Kanun,1997
Arka Sıradakiler,MinT Prodüksiyon Best Prodüksiyon,"Hamdi Alkan - (1-160, 171-193) - Ali Bilgin -  (161-170)",6,Gençlik - Dram,FOX -    - TNT,Bülent Emin Yarar - Bülent Çetinaslan - Sinem Öztürk - Barış Atay Mengüllü - Pelin Akil - Fırat Çöloğlu,2007
İki Dünya Arasında,Ser Film,Fatih Derin - Muhammet Gök,4,Dram - Aile,Samanyolu TV,İnanç Ömer Benlioğlu - Başak Zebil - Sevinç Kumaş - Gökben Derviş,2012
Acemi Cadı,D Productions,Feride Kaytan,2,Fantastik - Komedi,Kanal D -   - Star TV,Merve Boluğur - Şenay Gürler - Nergis Kumbasar - Çağkan Çulha,2006
Merhaba Hayat,Medyapım,Hülya Bilban,1,Medikal - Drama,FOX,Vahide Perçin - Yetkin Dikinciler,2012
Dila Hanım,Gold Film,Onur Tan -  (2012) - Aydın Bulut -  (2012-2013) - Nihat Durak -  (2013-2014) - Adnan Güler -  (2014),2,Aşk - Drama,Star TV -     - Show TV,Erkan Petekkaya - Hatice Şendil - Mahir Günşiray - Hülya Darcan - Necip Memili - Yonca Cevher - Emre Melemez - Görkem Mertsöz,2012
Kül ve Ateş,Asis Film,Cemile Kırmızı Karadaş,1,Dram,Star TV,Serhat Tutumluer - Başak Köklükaya - Hakan Balamir - Şerif Sezer,2009
Dur Yolcu,TRT,Hakan Şahin - İsmail Güneş,1,Dram - Savaş - Tarihî,TRT 1,Hazım Körmükçü - Selin Demiratar - Cem Kılıç - Ebru Kocaağa - Murat Soydan - Ahmet Yenilmez - Umut Özkan - Emre Tetikel,2008
Deli Yürek,Sinegraf,Osman Sınav,4,Aksiyon - Dram - Politik,Show TV -   - atv,Kenan İmirzalıoğlu - Zeynep Tokuş - Melda Bekcan - Demir Karahan - Kürşat Alnıaçık - Ali Sürmeli - Selçuk Yöntem,1998
Sultan,İstanbul Mass Media,Azime Kanal - Şengül Halat,1,Dram - Komedi,Kanal D,Nurgül Yeşilçay - Şahin Irmak - Merve Altınkaya - Nur Sürer - Settar Tanrıöğen - Hande Dane - Seray Gözler - Hüseyin Karaca - Orhan Şimşek - Orhan Güner,2012
Kurtlar Vadisi,Sinegraf  (2003-2004)  Pana Film  (2004-2005),Osman Sınav -  (1-55)  - Mustafa Şevki Doğan -  (21-55)  - Serdar Akar -  (56-97),4,Aksiyon - Dram - Politik,Show TV -    - Kanal D,Necati Şaşmaz - Özgü Namal - Selçuk Yöntem - Oktay Kaynarca - Zafer Ergin - Gürkan Uygun,2003
Doğruluk Ekseni,Ser Film,Taner Tunç,1,Dram,Samanyolu TV,Rahman Görede,2008
Büyük Yalan,Gold Film [1],Yüksel Aksu - Adnan Güler,2,Drama,atv - [2],Emrah - Sinem Öztufan,2004
Sensiz Olmuyor,Yağmur Ajans,Hakan Arslan - Taner Akvardar,1,Drama,Show TV -    - Kanal D,Özlem Conker - Yeliz Şar - Emre Altuğ - Okan Yalabık - İpek Tanrıyar - Ebru Gürsoy - Tayfun Çorağan - Zeynep Eronat - Mehmet Ali Kaptanlar - Ayşegül Uygurer - Kamil Sönmez - Bülent Şakrak - Durul Bazan - Mahir İpek - Onuryay Evrentan - Gülsüm Kamu - Aslan Altın,2005
Üç Kadın,TRT,Atıf Yılmaz - Oğuz Yalçın - Çiğdem Sezgin,1,Dram,TRT 1,Fikret Hakan - İpek Tenolcay - Fatma Karanfil - Nefise Karatay - Murat Ünalmış - Suna Keskin - Zerrin Arbaş,2005
Portatif Hüseyin,Star 1  (1991-1992)  HBB  (1992-1993),Gül Erbil - Ümit Volkan,2,Komedi,Star TV -   - HBB,Nezih Tuncay - Orçun Sonat - Yasemin Koşat - Ali Yalaz - Hadi Çaman - Halit Akçatepe - Gönül Tuncay - Ayşegül Uygurer,1991
Bizim Evin Halleri,TRT Focus Film,Tülay Eratalay - Tarık Alpagut - Cafer Özgül - [1],10,Aile - Komedi - Duygusal - Dram,TRT 1 -   - Kanal 1 -   - atv,Beyhan Saran - Meral Niron - Emel Göksu - Ayşe Nil Şamlıoğlu - Şahap Sayılgan - Nusret Çetinel - Pervin Ünalp - Burak Demir - Murat Demir - Ozan Şenozan - Berfu Öngören - Hülya Gülşen Irmak - Dilara Yalçın,2000
Çemberimde Gül Oya,Avşar Film,Çağan Irmak,1,Dram - Politik,Kanal D,Selda Alkor - Özge Özberk - Mehmet Ali Nuroğlu - Tuba Büyüküstün - Melisa Sözen - Suzan Aksoy - Şerif Sezer - Kenan Bal - Işıl Yücesoy,2004
Sırılsıklam,Ulus Production,Temel Gürsu,2,Drama - Macera,Show TV,İbrahim Erkal - Melis Yamalıoğlu - Süleyman Turan - Engin Koç - Canan Perver - Deniz Eroğlu - Yosi Mizrahi - Eşref Kolçak - Kuzey Vargın - Engin Günay - Şener Gezgen - Burçin Terzioğlu,1998
Ezel,Ay Yapım,Uluç Bayraktar,2,Aksiyon - Dram,Show TV -   - atv,Kenan İmirzalıoğlu - Cansu Dere - Yiğit Özşener - Barış Falay - Tuncel Kurtiz - Haluk Bilginer,2009
Küstüm Çiçeği,Medya Skala,Kemal Uzun,1,Komedi - Aile,TRT 1,Salih Kalyon - Füsun Demirel - Ali Erkazan - Esra Ronabar - Engin Hepileri - Sezin Akbaşoğulları - Sezgi Mengi - Ayşenur Yazıcı - Sevim Gelenbe - Murat Cemcir - Aydoğan Oflu - Erdal Tosun - Nalan Gücüpek - Ayfer Dönmez - Emin Gürsoy - Zeynep Evrim Aydın - Kaya Akarsu,2010
İz Peşinde,TRT,Hüseyin Karakaş,3,Aksiyon - Dram - Duygusal - Gerilim - Macera - Polisiye,TRT 1 -    - Star TV,Mehmet Aslantuğ - Erol Taş - Gülen Karaman - Osman Yağmurdereli - Serdar Bostancı - Bensu Orhunöz - Orsel Sonat,1990
Bir İstanbul Masalı,TMC,Ömür Atay,2,Aşk - Drama,atv,Mehmet Aslantuğ - Ahu Türkpençe - Çetin Tekindor - Altan Erkekli - Arsen Gürzap - Vahide Perçin - İsmail Hacıoğlu - Ozan Güven,2003
Aile Saadeti,Fabrika Yapım,Cankat Ergin,1,Aile - Komedi,atv,Yetkin Dikinciler - Engin Hepileri - Sibel Taşçıoğlu - Ayberk Atilla - Güzin Usta,2009
Aşağı Yukarı Yemişlililer,BKM Mutfak,Şahin Altuğ,1,Komedi,atv,Şahin Irmak - Sülo  - Bülent Emrah Parlak - Mikail  - Murat Eken - Serhat  - Büşra Pekin - Menekşe  - Gülhan Tekin - Emine  - Burcu Gönder - Handan,2011
Pulsar,Rüzgar Yapım,Ayşe Şule Bilgiç - Mustafa Yaşar - Serkan İpekören - Kartal Çidamlı,1,Aile,Star TV,Pulsar Von Juliet - Ayberk Koçar - Buket Dereoğlu - Kayra Şenocak - Ecem Uzun,2008
Aynadaki Düşman,Rumeli Film,Hakan Kurşun,1,Dram - Aksiyon,TRT 1,Şafak Sezer - Haluk Piyes - Barış Kılıç - Mine Tugay - Mahir Günşiray - Fadik Sevin Atasoy,2009
Küçük Kadınlar,D Productions,Hakan Arslan,3,Dram,Kanal D -   - Star TV,Özge Borak - Hande Soral - Fulya Zenginer - Ekin Türkmen - Elit İşcan - Selin Ilgar - Ali İl - Birsen Dürülü - Ahmet Tansu Taşanlar - Nur Hayat Boz - Kıvanç Kasabalı - Ahmet Levendoğlu - Burak Sağyaşar - Simge Selçuk - Hülya Şen - Cevdet Arıcılar - Ayşegül Günay - Duygu Keser - Emre Tetikel - Kemal Pekser,2008
Yuva,TRT,Mehmet Taşdiken,1,Duygusal - Aile,TRT 1,Tamer Yiğit - Sema Çelebi - Muhterem Nur - Mesut Çakarlı - Tunç Güntay - Kuzey Vargın - Nazan Saatçi,1990
İkinci Bahar,Erler Film Most Production,Uğur Yücel - Orhan Oğuz - Türkan Derya,3,Dram,atv,Türkan Şoray - Şener Şen - Tarık Papuççuoğlu - Güven Hokna - Nedim Saban - Özkan Uğur - Nurgül Yeşilçay - Ozan Güven,1998
Adak,Gold Film,Adnan Güler,1,Drama,Show TV,Emrah - Hande Subaşı,2006
Hatırla Sevgili,Sis Yapım,Ümmü Burhan,2,Dram - Romantik - Tarihî,atv,Cansel Elçin - Beren Saat - Okan Yalabık,2006
Süper Baba,Kare Ajans,Osman Sınav - Tunca Yönder - Orhan Oğuz - Kartal Tibet - Feyzi Tuna,4,Dram,atv,Şevket Altuğ - Jülide Kural - Seray Gözler - Sümer Tilmaç - İsmet Ay - Şevval Sam - Bennu Yıldırımlar,1993
Gümüş,D Productions,Tarık Alpagut - Kemal Uzun,3,Dram - Romantik,Kanal D,Kıvanç Tatlıtuğ - Songül Öden - Ekrem Bora,2005
Küçük Besleme,"Yeni Yapımlar Yönder Ltd,Şti",Tunca Yönder,3,Dram,Star TV,Tomris Oğuzalp - Nur Kulakoğlu - Esmeray - Gökhan Eğilmezbaş - Kuzey Vargın,1999
Kuruntu Ailesi,TRT,Uğur Erkır,5,Komedi - Sitcom,TRT 1,Gazanfer Özcan - Gönül Ülkü - Doğu Erkan - Gazanfer Ündüz - Fulya Özcan - Zihni Göktay - Can Kolukısa,1985
Vay Anam Vay,D Productions,Erdoğan Engin,1,Komedi,Kanal D,Nevra Serezli - Atilla Olgaç - Sıdıka Şenkan - Ayhan Kavas - Gülen Karaman - Hakan Vanlı - Burçak Işımer - Metin Zakoğlu - Saydam Yeniay - Melike Güner - Alev Cınbarcı - Rüyam Olunçay - Parkan Özturan - Kaya Gürel - Ezgim Kılınç - Mustafa Uzunyılmaz - Nesrin İşçi - Nihal Menzil -,2000
Aliye,TMC Film,Kudret Sabancı,3,Dram,atv,Sanem Çelik - Nejat İşler - Halit Ergenç,2004
Kurtuluş,TRT,Ziya Öztan,1,Tarihî,TRT 1,Rutkay Aziz - Mahmut Cevher - Savaş Dinçel - Altan Erkekli - Ayda Aksel - Macide Tanır,1994
Keşanlı Ali Destanı,D Productions,Çağan Irmak,1,Epik - Dram - Politik,Kanal D,Nejat İşler - Belçim Bilgin,2011
Kınalı Kuzular,TRT,Tunç Davut,1,Tarihî,TRT 1,Ziya Kürküt -  -Ahmet Mümtaz Taylan -  Emin Gürsoy - Demir Karahan - Fatma Karanfil,2006
Görgüsüzler,Erler Film,Yaşar Seriner,1,Komedi,atv,Melek Baykal - Zeki Alasya - Çağla Şikel - Mert Öcal - Levent Ülgen - Zihni Göktay - Ümit Yesin - Veysel Diker - Şeyla Halis - Bahar Öztan,2008
Aşk-ı Memnu,Ay Yapım,Hilal Saral,2,Dram - Romantik,Kanal D,Beren Saat - Kıvanç Tatlıtuğ - Selçuk Yöntem - Hazal Kaya - Nebahat Çehre - Zerrin Tekindor - Nur Fettahoğlu,2008
Türkan,Koliba Film,Türkan Derya - Cemal Şan,1,Dram,Kanal D,Pınar Öğün - Saygın Soysal - Özgürcan Çevik,2010
Güldünya,TMC,Ömür Atay,1,Dram,Star TV,Sanem Çelik - Yeliz Doğramacılar - Songül Öden,2008
Genco,D Productions,Kemal Uzun,1,Dram - Fantezi,Kanal D,Alpay Kemal Atalan - Selen Seyven - Hazal Kaya,2007
Hürrem Sultan,Medyapım,Fatih Aksoy - Fatmanur Sevinç,1,Tarihî,Star TV,Gülben Ergen - Ali Sürmeli - Hatice Aslan - Serdar Deniz,2003
Yeşeren Düşler,Ser Film,Taner Tunç,2,Dram,Samanyolu TV,Bilgehan Birincioğlu - Gülşah Şahin,2006
Acı Hayat,Sinegraf,Abdülkadir Ceylan Ede,2,Dram - Aksiyon,Show TV,Kenan İmirzalıoğlu - Selin Demiratar - Oğuz Galeli - Ebru Kocaağa - Ahmet Yenilmez - Murat Soydan - Meral Orhonsay - Ferdi Merter - Anta Toros,2005
Şefkat Tepe,Ser Film,Erhan Baytimur - Engin Koç,4,Aksiyon - Askeri - Dram - Savaş,Samanyolu TV,Mert Kılıç - Ertuğrul Şakar - Aslıhan Güner - Dilara Büyükbayraktar - Mehmet Korhan Fırat - Bora Karakul - Merve Akaydın - Gülşah Küçükyıldız,2010
Yabancı Damat,Erler Film,Yağmur Taylan - Durul Taylan,3,Dram,Kanal D,Erdal Özyağcılar - Sumru Yavrucuk - Nehir Erdoğan - Özgür Çevik - Arif Erkin - Zeki Alasya - Binnur Kaya - Tülin Oral - Yılmaz Gruda,2004
Harem,Tükenmezkalem Film,Süleyman Seçik,1,Sitcom,FOX,Levent Üzümcü - Nurseli İdiz - Belma Canciğer - Başak Sayan - Çiçek Dilligil - Duygu Şen - Zuhal Yalçın - Önder Açıkbaş - Mehmet Ali Erbil - Serhan Arslan - Gamze Karaman - Ömür Özdemir - Hande Katipoğlu,2012
Ritmini Arayan Kalpler,Ser Film,Hasan Kıraç,1,Dram,Samanyolu TV,Yaren Aynuz,2009
Aşk ve Ceza,TMC Film,Kudret Sabancı,2,Dram - Aşk - Romantik,atv,Murat Yıldırım - Nurgül Yeşilçay - Feride Çetin - Tomris İncer - Caner Kurtaran,2010
Efsane,Replik Ajans,Tunç Başaran,1,Fantastik - Polisiye - Macera,Star TV,Şemsi İnkaya - Tardu Flordun,2002
Seksenler,MinT Motion Pictures,"Birol Güven - (2012) - Müfit Can Saçıntı - (2012-2016) - Bora Tekay - (2016-2017, 2019-2021, 2022) - Mustafa Uğur Yağcıoğlu - (2021-2022)",10,Sitcom - Nostalji - Romantik,TRT 1 - Beyaz TV,Özlem Türkad - Şoray Uzun - Ayşe Tolga - İlker Ayrık - Zeynep Sever - Eski başroller - Rasim Öztekin - Yasemin Baştan - Serhat Kılıç - Ceyhun Fersoy,2012
Bir Zamanlar Osmanlı,Herşey Film,Altan Dönmez,2,Tarihî,TRT 1,Türkân Şoray - Özcan Deniz - Aslı Tandoğan - Cemal Hünal - Tolga Karel - Hâzım Körmükçü - Fırat Tanış,2012
Dinle Sevgili,Base Yapım,Neslihan Yeşilyurt,2,Dram - Aşk,FOX,Cem Kılıç,2011
Kanıt,ANS Productions,Biray Dalkıran,3,Polisiye,Kanal D,Sevil Atasoy - Engin Benli - Deniz Celiloğlu - Tolga Karel,2010
Çiçek Taksi,Ulusal Radyo Televizyon Erler Film,Yaşar Seriner - Ümit Efekan - Mehmet Bozkuş - Erdoğan Tokatlı,7,Aile - Komedi,atv -   - TRT 1,Erol Günaydın - Eşref Kolçak - Ümit Yesin - Bekir Aksoy - Cengiz Küçükayvaz -,1995
Karayılan,Sis Yapım,Cem Akyoldaş - Feride Kaytan,1,Tarihî - Dram,atv,Bülent İnal - Begüm Birgören - Engin Akyürek,2007
Halil İbrahim Sofrası,TRT,Ahmet Katıksız,1,Komedi - Aile - Dram,TRT 1,Hasan Kaçan - Kadir Çöpdemir - Ahmet Yenilmez - Burak Satıbol - Seray Gözler - Ayçe Abana - Özlem Türay - İnan Ulaş Torun - Özge Sezince Varley - Serkan Ercan,2010
Gözlerinde Son Gece,Gold Film,Faruk Turgut,1,Drama,Star TV,Türkan Şoray - Rutkay Aziz - Kaan Girgin - Selen Yıldız - Levent Özdilek - Atilla Olgaç - Bülent Bilgiç,1996
Benim Annem Bir Melek,BKM Film İmaj  (post prodüksiyon),Hakan Algül,3,Aile - Durum komedisi,atv -    - Star TV -    - a2,Oya Başar - Tarık Ünlüoğlu - Dolunay Soysert - Ali Sunal - Şehsuvar Aktaş - Ayçin İnci,2008
Küçük İbo,Sedine Prodüksiyon,Hüseyin Karakaş - Zeynep Tor,4,Dram - Gerilim,Show TV,"İbrahim Küçük -  (İbo), - Bülent Bilgiç -  (Hasan), - Yasemin Koşal -  (Aysel), - Levent Üzümcü -  (Raşit), - Nazan Ersan -  (Cemile), - Selen Güzel -  (Mine), - Ceyda Ateş -  (Elmas), - Canan Kılıç -  (Ayşe), - Günyol Bakoğlu -  (Mehmet), - Nurhan Yılma -  (Menekşe), - Şinasi Yurtsever -  (Selçuk) - Canan Akgül -  (Hatice) - Merve Erdoğan -  ()",1997
Baba Evi,Muhteşem Film,Yusuf Kurçenli - Orhan Oğuz - Mahinur Ergun - Feyzi Tuna - Erden Kıral,4,Dram,atv,Halil Ergün - Deniz Gökçer - Sevinç Erbulak - Ayşegül Ünsal - Altan Karındaş - İsmet Ay - İhsan Devrim,1997
Sevgili Dünürüm,Gold Film,Hakan Algül,1,Durum komedisi,Star TV,Engin Altan Düzyatan - Rojda Demirer - Haluk Bilginer - Sumru Yavrucuk,2007
Alacakaranlık,Paranoya TV,Yağmur Taylan - Paxton Winters - Durul Taylan - Alican Yücel,2,Polisiye - Macera - Gerilim - Aksiyon,Show TV,Uğur Yücel - Kenan İmirzalıoğlu,2003
Yağmurdan Sonra,Samanyolu TV,Cemile Kırmızı Karadaş (1-4)  -  U. Yağmur Yavuz (5-14)  -  Hüdaverdi Yavuz (15-19)  -  Naci Çelik Berksoy (20-39),1,Dram,Samanyolu TV,Seçil Mutlu - Yıldız Çağrı Atiksoy - Ali Sürmeli - Atilla Olgaç - Kayra Şenocak - Sefa Zengin,2006
Böyle Bitmesin,AT Yapım,Emre Kabakuşak,2,Dram - Polisiye - Sosyal,TRT 1,Yeliz Kuvancı - Nergis Öztürk - Cemal Toktaş,2012
Zerda,TMC,Kudret Sabancı,2,Drama,atv,Yavuz Bingöl - Ece Uslu - Burak Sergen - Güven Hokna - Halit Ergenç - Hülya Şen,2002
